"","genus","family","order","group","binomial","id"
"110","Cystopteris","Cystopteridaceae","Polypodiales-Eupolypod II","Pteridophytes","Cystopteris fragilis","ubc"
"111","Cistus","Cistaceae","Malvales","Angiosperms","Cistus laurifolius","ubc"
"112","Rhus","Anacardiaceae","Sapindales","Angiosperms","Rhus glabra","vand"
"113","Ribes","Grossulariaceae","Saxifragales","Angiosperms","Ribes sanguineum","ubc"
"114","Grevillea","Proteaceae","Proteales","Angiosperms","Grevillea robusta","vand"
"115","Scirpus","Cyperaceae","Poales","Angiosperms","Scirpus microcarpus","vand"
"116","Meliosma","Sabiaceae","Proteales","Angiosperms","Meliosma veitchiorum","ubc"
"117","Osmunda","Osmundaceae","Osmundales","Pteridophytes","Osmunda regalis","ubc"
"118","Triantha","Tofieldiaceae","Alismatales","Angiosperms","Triantha glutinosa","ubc"
"119","Crinodendron","Elaeocarpaceae","Oxalidales","Angiosperms","Crinodendron hookerianum","ubc"
"120","Drimys","Winteraceae","Canellales","Angiosperms","Drimys winteri","ubc"
"121","Acalypha","Euphorbiaceae","Malpighiales","Angiosperms","Acalypha wilkesiana","vand"
"122","Sparganium","Typhaceae","Poales","Angiosperms","Sparganium emersum","ubc"
"123","Pedicularis","Orobanchaceae","Lamiales","Angiosperms","Pedicularis groenlandica","ubc"
"124","Kniphofia","Asphodelaceae","Asparagales","Angiosperms","Kniphofia multiflora","ubc"
"125","Gunnera","Gunneraceae","Gunnerales","Angiosperms","Gunnera magellanica","vand"
"126","Boehmeria","Urticaceae","Rosales","Angiosperms","Boehmeria platanifolia","ubc"
"127","Pachystachys","Acanthaceae","Lamiales","Angiosperms","Pachystachys lutea","vand"
"128","Zelkova","Ulmaceae","Rosales","Angiosperms","Zelkova serrata","vand"
"129","Adiantum","Pteridaceae","Polypodiales","Pteridophytes","Adiantum pedatum","ubc"
"130","Thelypteris","Thelypteridaceae","Polypodiales-Eupolypod II","Pteridophytes","Thelypteris noveboracensis","ubc"
"131","Botrychium","Ophioglossaceae","Ophioglossales","Pteridophytes","Botrychium virginianum","ubc"
"132","Alstroemeria","Alstroemeriaceae","Liliales","Angiosperms","Alstroemeria isabellana","vand"
"133","Uvularia","Colchicaceae","Liliales","Angiosperms","Uvularia grandiflora","ubc"
"134","Armeria","Plumbaginaceae","Caryophyllales","Angiosperms","Armeria maritima","vand"
"135","Berberidopsis","Berberidopsidaceae","Berberidopsidales","Angiosperms","Berberidopsis corallina","ubc"
"136","Begonia","Begoniaceae","Cucurbitales","Angiosperms","Begonia palmata","ubc"
"137","Puya","Bromeliaceae","Poales","Angiosperms","Puya mirabilis","ubc"
"138","Solanum","Solanaceae","Solanales","Angiosperms","Solanum pyracanthum","vand"
"139","Carpobrotus","Aizoaceae","Caryophyllales","Angiosperms","Carpobrotus edulis","vand"
"140","Polypodium","Polypodiaceae","Polypodiales-Eupolypod I","Pteridophytes","Polypodium vulgare","vand"
"141","Ailanthus","Simaroubaceae","Sapindales","Angiosperms","Ailanthus altissima","vand"
