TaxonName,Locality,MaterialType,AltitudeFrom,AltitudeTo,CoordLatDD,CoordLongDD,CountryName,ItemAccNoFull,ItemLocationCode,AccNoCons,CollNo,DetType,ProvenanceCode,AtrA_Variant,Collector,ItemSpecCount
Marah oregana,near Lime Kiln Point State Park along Dead Man Bay,seed,,,48.513563,-123.146825,United States of America,1978-0762.02,1J,17589/0-0099-1978,RLT.6549,,W,,"Taylor, Roy Lewis",1
Miscanthus sinensis 'Zebrinus',,division,,,,,,1992-0008.01,1M09,17610/0-0312-1992,,,G,,,3
Pennisetum orientale,,plant,,,,,,1979-0090.02,HUBC,17613/0-0312-1979,,,U,,,1
Acer tataricum subsp. ginnala,,plant,,,,,,1979-0097.01,1X01,17626/0-0083-1979,,,G,,,1
Scilla hyacinthoides,Siirt Province,bulb,,,,,Turkey,1978-0794.01,LAM,17667/0-0156-1978,MT.2054,,W,,"MacPhail, Jim",many
Scilla hyacinthoides,Siirt Province,bulb,,,,,Turkey,1978-0794.02,HUBC,17667/0-0156-1978,MT.2054,,W,,"MacPhail, Jim",1
Anemonopsis macrophylla,,plant,,,,,,1979-0100.01,LAS4,17677/0-0403-1979,,,G,,,1
Anemonopsis macrophylla,,plant,,,,,,1979-0100.02,HUBC,17677/0-0403-1979,,,G,,,1
Actinidia arguta var. giraldii,,plant,,,,,,1979-0104.01,3AE3,17692/0-0013-1979,,,G,,,1
Actinidia melanandra,,plant,,,,,,1979-0105.01,3ACA,17693/0-0013-1979,,,G,,,1
Actinidia arguta var. arguta,,plant,,,,,,1979-0106.01,3AD5,17694/0-0013-1979,,,G,,,1
Actinidia arguta var. arguta,,plant,,,,,,1979-0106.02,HUBC,17694/0-0013-1979,,,G,,,1
Chimonanthus praecox 'Grandiflorus',,plant,,,,,,1979-0107.01,3AB1,17700/0-0013-1979,,,G,,,1
Euonymus semiexsertus,,plant,,,,,,1979-0108.01,3AB1,17708/0-0013-1979,,,G,,,1
Euonymus semiexsertus,,plant,,,,,,1979-0108.02,HUBC,17708/0-0013-1979,,,G,,,1
Juglans mandshurica,,plant,,,,,,1979-0109.01,3AA1,17711/0-0013-1979,,,G,,,1
