TaxonName,Locality,MaterialType,AltitudeFrom,AltitudeTo,CoordLatDD,CoordLongDD,CountryName,ItemAccNoFull,ItemLocationCode,AccNoCons,CollNo,DetType,ProvenanceCode,AtrA_Variant,Collector,ItemSpecCount
Gentiana asclepiadea,,seed,,,,,,1994-0482.01,LEU2,31677/0-0075-1994,,,U,,,1
Sorbus macrantha,"Bei Ma Shan, N side nr.timber rd., Diqing Pref.",seed,3800,,,,China,1994-0487.01,3AC7,31683/0-0180-1994,KGB.0556,,W,,Alden; Liden; Lu Ren Fu; Su Zhi Yun; Zetterland,1
Sorbus macrantha,"Bei Ma Shan, N side nr.timber rd., Diqing Pref.",seed,3800,,,,China,1994-0487.02,HUBC,31683/0-0180-1994,KGB.0556,,W,,Alden; Liden; Lu Ren Fu; Su Zhi Yun; Zetterland,1
Androsace rotundifolia,,seed,,,,,,1995-0361.02,HUBC,31690/0-0167-1995,,,G,,,1
Dicentra eximia,,seed,,,,,,1995-0362.01,LNA3,31691/0-0167-1995,,,G,white flowered selection,,1
Carrierea calycina,"Daozhen county, Dashahe Cathaya Reserve, 2 km south of Dashahe village, north side of main access road",seed,1210,,,,China,1995-0374.01,3AG2,31705/0-0413-1995,PW.0084,,W,,"Wharton, Peter",1
Carrierea calycina,"Daozhen county, Dashahe Cathaya Reserve, 2 km south of Dashahe village, north side of main access road",seed,1210,,,,China,1995-0374.02,3AG2,31705/0-0413-1995,PW.0084,,W,,"Wharton, Peter",1
Carrierea calycina,"Daozhen county, Dashahe Cathaya Reserve, 2 km south of Dashahe village, north side of main access road",seed,1210,,,,China,1995-0374.03,3AG2,31705/0-0413-1995,PW.0084,,W,,"Wharton, Peter",1
Corylus chinensis,"Daozhen county, Dashahe Cathaya Reserve,  along reserve access road 2 km south of Dashahe village close to Communist Red Army Memorial which faces east across the valley and is below a limestone cliff. All collections were made between road and cliff base",seed,1300,,,,China,1995-0375.01,3AE1,31706/0-0413-1995,PW.0045,,W,,"Wharton, Peter",1
Pterocarya insignis,"Daozhen county, Dashahe Cathaya Reserve, Dashahe hamlet to Zhen Zi Fang then north along Sichuan side of river.",seed,1040,,,,China,1995-0376.01,3AS6,31707/0-0413-1995,PW.0073,?,W,,"Wharton, Peter",1
Sorbus megalocarpa,"Daozhen county, Dashahe Cathaya Reserve, 2 km. north of Dashahe village",seed,1300,,,,China,1995-0378.01,3AB1,31709/0-0413-1995,PW.0003,,W,,"Wharton, Peter",1
Sorbus megalocarpa,"Daozhen county, Dashahe Cathaya Reserve, 2 km. north of Dashahe village",seed,1300,,,,China,1995-0378.04,HUBC,31709/0-0413-1995,PW.0003,,W,,"Wharton, Peter",1
Cotoneaster lancasteri,,seed,,,,,,1993-0550.01,3AAH,31710/0-0466-1993,,,G,,,1
Cotoneaster lancasteri,,seed,,,,,,1993-0550.02,HUBC,31710/0-0466-1993,,,G,,,1
Paeonia delavayi,Muli,seed,2500,,,,China,1993-0551.01,3AA4,31711/0-0571-1993,SICH.0976,,W,,"Fliegner, H.; Howick, Charles; McNamara, W.; Staniforth M.",1
Paeonia delavayi,Muli,seed,2500,,,,China,1993-0551.02,3AA4,31711/0-0571-1993,SICH.0976,,W,,"Fliegner, H.; Howick, Charles; McNamara, W.; Staniforth M.",1
Tilia chinensis,Muli,seed,2700,3400,,,China,1993-0552.01,3AC2,31712/0-0571-1993,SICH.1158,,W,,"Fliegner, H.; Howick, Charles; McNamara, W.; Staniforth M.",1
Tilia chinensis,Muli,seed,2700,3400,,,China,1993-0552.02,HUBC,31712/0-0571-1993,SICH.1158,,W,,"Fliegner, H.; Howick, Charles; McNamara, W.; Staniforth M.",1
Acer acuminatum,"Lam Dug, w. of  Manali",seed,3145,,,,India,1994-0490.01,3AD1,31714/0-0571-1994,HM.1858,,W,,"Howick, Charles; McNamara, William A.",1
Acer acuminatum,"Lam Dug, w. of  Manali",seed,3145,,,,India,1994-0490.02,3AJ7,31714/0-0571-1994,HM.1858,,W,,"Howick, Charles; McNamara, William A.",1
Acer acuminatum,"Lam Dug, w. of  Manali",seed,3145,,,,India,1994-0490.03,3AJ3,31714/0-0571-1994,HM.1858,,W,,"Howick, Charles; McNamara, William A.",1
Acer sinense,,seed,2990,,,,China,1995-0381.01,3AA3,31717/0-0571-1995,SICH.1329,,W,,"Fliegner, H.; Erskine, C.; Howick, Charles; McNamara, W.",1
Acer sinense,,seed,2990,,,,China,1995-0381.03,HUBC,31717/0-0571-1995,SICH.1329,,W,,"Fliegner, H.; Erskine, C.; Howick, Charles; McNamara, W.",1
Acer campbellii,"Xichang Co, following Xiqi River upstream above Bai Baiding Village on the northern flank of Luoji Shan",seed,2775,,,,China,1995-0382.01,3ACB,31718/0-0571-1995,SICH.1469,,W,,"Fliegner, H.; Erskine, C.; Howick, Charles; McNamara, W.",1
Acer campbellii,"Xichang Co, following Xiqi River upstream above Bai Baiding Village on the northern flank of Luoji Shan",seed,2775,,,,China,1995-0382.03,3AF3,31718/0-0571-1995,SICH.1469,,W,,"Fliegner, H.; Erskine, C.; Howick, Charles; McNamara, W.",1
Acer campbellii,"Xichang Co, following Xiqi River upstream above Bai Baiding Village on the northern flank of Luoji Shan",seed,2775,,,,China,1995-0382.04,HUBC,31718/0-0571-1995,SICH.1469,,W,,"Fliegner, H.; Erskine, C.; Howick, Charles; McNamara, W.",1
Rhododendron cyanocarpum,"CangShan, abv.rd. Three Pagodas->marble quarry",seed,3400,,,,China,1994-0495.01,3AC2,31723/0-0523-1994,KR.2739,,W,,"Rushforth, Keith",7
Rhododendron cyanocarpum,"CangShan, abv.rd. Three Pagodas->marble quarry",seed,3500,,,,China,1994-0496.01,3AD4,31724/0-0523-1994,KR.2748,,W,,"Rushforth, Keith",5
Rhododendron cyanocarpum,"CangShan, abv.rd. Three Pagodas->marble quarry",seed,3560,,,,China,1994-0497.01,3AD4,31725/0-0523-1994,KR.2751,,W,,"Rushforth, Keith",8
Taxus wallichiana var. mairei,,seed,,,,,,1993-0555.01,3AA3,31736/0-0607-1993,,,G,,,1
Taxus wallichiana var. mairei,,seed,,,,,,1993-0555.02,3AA5,31736/0-0607-1993,,,G,,,1
Taxus wallichiana var. mairei,,seed,,,,,,1993-0555.03,3AAD,31736/0-0607-1993,,,G,,,1
Taxus wallichiana var. mairei,,seed,,,,,,1993-0555.04,3AA3,31736/0-0607-1993,,,G,,,1
Taxus wallichiana var. mairei,,seed,,,,,,1993-0555.05,3AA3,31736/0-0607-1993,,,G,,,1
Rhododendron balfourianum,"Cang Shan, nr.top, Dali Pref.",seed,4030,,,,China,1994-0508.01,3AD4,31756/0-0180-1994,KGB.0808,,W,,Alden; Liden; Lu Ren Fu; Su Zhi Yun; Zetterland,3
Rhododendron beesianum,"mtn.abv. Napa Hai, Diqing Pref.",seed,3800,,,,China,1994-0509.01,3AE9,31757/0-0180-1994,KGB.0020,,W,,Alden; Liden; Lu Ren Fu; Su Zhi Yun; Zetterland,2
Rhododendron beesianum,"Xiao Xue Shan, below N pass, Diqing Pref.",seed,3850,,,,China,1994-0511.01,3AC3,31759/0-0180-1994,KGB.0172,,W,deep pink selection,Alden; Liden; Lu Ren Fu; Su Zhi Yun; Zetterland,3
Rhododendron proteoides,"Bei Ma Shan, S part, 35km fr. Benzilan ravine, Diqing Pref.",seed,4100,,,,China,1994-0512.01,3AD4,31760/0-0180-1994,KGB.0695,,W,,Alden; Liden; Lu Ren Fu; Su Zhi Yun; Zetterland,1
Rhododendron roxieanum var. roxieanum,"Bei Ma Shan, S part, 35km fr. Benzilan ravine, Diqing Pref.",seed,4000,,,,China,1994-0513.01,3AD4,31761/0-0180-1994,KGB.0688,,W,,Alden; Liden; Lu Ren Fu; Su Zhi Yun; Zetterland,3
Carrierea calycina,"Daozhen county, Dashahe Cathaya Reserve, Dashahe hamlet to Zhen Zi Fang then north along Sichuan side of river.",seed,1000,,,,China,1995-0402.01,3AB9,31765/0-0413-1995,PW.0068,,W,,"Wharton, Peter",1
Carrierea calycina,"Daozhen county, Dashahe Cathaya Reserve, Dashahe hamlet to Zhen Zi Fang then north along Sichuan side of river.",seed,1000,,,,China,1995-0402.03,3AF7,31765/0-0413-1995,PW.0068,,W,,"Wharton, Peter",1
Carrierea calycina,"Daozhen county, Dashahe Cathaya Reserve, Dashahe hamlet to Zhen Zi Fang then north along Sichuan side of river.",seed,1000,,,,China,1995-0402.04,3AJ1,31765/0-0413-1995,PW.0068,,W,,"Wharton, Peter",1
Carrierea calycina,"Daozhen county, Dashahe Cathaya Reserve, Dashahe hamlet to Zhen Zi Fang then north along Sichuan side of river.",seed,1000,,,,China,1995-0402.05,3ADA,31765/0-0413-1995,PW.0068,,W,,"Wharton, Peter",1
Carrierea calycina,"Daozhen county, Dashahe Cathaya Reserve, Dashahe hamlet to Zhen Zi Fang then north along Sichuan side of river.",seed,1000,,,,China,1995-0402.06,3AJ3,31765/0-0413-1995,PW.0068,,W,,"Wharton, Peter",1
Carrierea calycina,"Daozhen county, Dashahe Cathaya Reserve, Dashahe hamlet to Zhen Zi Fang then north along Sichuan side of river.",seed,1000,,,,China,1995-0402.07,3AG7,31765/0-0413-1995,PW.0068,,W,,"Wharton, Peter",1
Carrierea calycina,"Daozhen county, Dashahe Cathaya Reserve, Dashahe hamlet to Zhen Zi Fang then north along Sichuan side of river.",seed,1000,,,,China,1995-0402.08,HUBC,31765/0-0413-1995,PW.0068,,W,,"Wharton, Peter",1
Rhododendron lacteum,"Cang Shan, abv.rd.Three Pagodas->marble quarry",seed,3700,,,,China,1994-0516.01,3AC6,31770/0-0523-1994,KR.2760,,W,,"Rushforth, Keith",3
Rhododendron rex subsp. fictolacteum,"Cang Shan, abv.rd. Three Pagodas->marble quarry,",seed,3600,3700,,,China,1994-0517.01,3AJ1,31771/0-0523-1994,KR.2763,,W,,"Rushforth, Keith",1
Meliosma cuneifolia,,seed,2810,,,,China,1995-0410.01,3ABB,31779/0-0571-1995,SICH.1472,,W,,"Fliegner, H.; Erskine, C.; Howick, Charles; McNamara, W.",1
Meliosma cuneifolia,,seed,2810,,,,China,1995-0410.03,HUBC,31779/0-0571-1995,SICH.1472,,W,,"Fliegner, H.; Erskine, C.; Howick, Charles; McNamara, W.",1
Satureja douglasii,"Hernando Is.(nw.of Savary I.),BC 49 59'N 124 55'W",plant,,,,,Canada,1995-0432.01,1B35,31806/0-0625-1995,,,W,,,1
Leymus mollis,"Hernando Is.(nw.of Savary I.),BC 49 59'N 124 55'W",plant,,,,,Canada,1995-0437.01,1B29,31812/0-0625-1995,,,W,,,49
Reineckea carnea,,plant,,,,,,1995-0441.01,3AA4,31816/0-5460-1995,,,U,,,1
Asphodeline liburnica,,plant,,,,,,1995-0453.01,1C01,31830/0-0620-1995,,,G,,,8
Yucca flaccida 'Golden Sword',,plant,,,,,,1995-0456.01,LNA6,31833/0-0620-1995,,,G,,,1
Yucca flaccida 'Golden Sword',,plant,,,,,,1995-0456.02,LNA6,31833/0-0620-1995,,,G,,,1
Yucca flaccida 'Golden Sword',,plant,,,,,,1995-0456.03,LNA6,31833/0-0620-1995,,,G,,,1
Miscanthus sinensis 'Nippon',,plant,,,,,,1995-0457.01,3AAG,31834/0-0586-1995,,,G,,,1
Triosteum himalayanum,"Chang Mtns., Dali",seed,3400,,,,China,1993-0557.01,3AB4,31836/0-0494-1993,D.Rankin.0088,,W,,"Rankin, D",2
Triosteum himalayanum,"Chang Mtns., Dali",seed,3400,,,,China,1993-0557.03,HUBC,31836/0-0494-1993,D.Rankin.0088,,W,,"Rankin, D",1
Lilium henryi,,plant,,,,,,1995-0461.01,3AAB,31839/0-0304-1995,,,G,,,1
Lilium henryi var. citrinum,,plant,,,,,,1995-0462.01,3AAG,31840/0-0304-1995,,,G,,,1
Quercus garryana,,seed,,,,,,1995-0469.01,1J,31847/0-0539-1995,,,G,,,1
Clinopodium nepeta subsp. nepeta,,plant,,,,,,1995-0486.02,LEU,31864/0-0573-1995,,,G,,,5
Clinopodium nepeta subsp. nepeta,,plant,,,,,,1995-0486.04,HUBC,31864/0-0573-1995,,,G,,,1
Ligustrum compactum var. compactum,,unrooted cutting,,,,,,1995-0492.01,3AH2,31870/0-0240-1995,,,G,,,1
Narcissus 'Cedric Morris',,plant,,,,,,1995-0505.01,LEU,31883/0-0615-1995,,,G,,,2
Olearia 'Waikariensis',,plant,,,,,,1995-0506.06,LAA1,31884/0-0573-1995,,,G,,,2
Rosmarinus officinalis 'McConnell's Blue',,plant,,,,,,1995-0511.01,LEU,31889/0-0561-1995,,,G,,,1
Rosmarinus officinalis 'Trusty',,plant,,,,,,1995-0515.01,LAM,31893/0-0573-1995,,,G,,,many
Cornus capitata,w.China,plant,,,,,China,1995-0519.01,3AB5,31897/0-0539-1995,,aff.,W,,,1
Cornus capitata,w.China,plant,,,,,China,1995-0519.02,3AD1,31897/0-0539-1995,,aff.,W,,,1
Magnolia officinalis var. biloba,,plant,,,,,,1995-0522.01,3AB5,31900/0-0539-1995,,,G,,,1
Magnolia insignis,,plant,,,,,,1995-0523.01,3AF3,31901/0-0539-1995,,,G,,,1
Magnolia insignis,,plant,,,,,,1995-0523.02,HUBC,31901/0-0539-1995,,,G,,,1
Magnolia ernestii,,plant,,,,,,1995-0524.01,3AC6,31902/0-0539-1995,,,G,,,1
Magnolia lotungensis,,plant,,,,,,1995-0527.01,3AD1,31905/0-0539-1995,,,G,,,1
Syringa pubescens subsp. julianae 'Hers',,plant,,,,,,1995-0529.01,3AA5,31907/0-0539-1995,,,G,,,1
Carex albula,,plant,,,,,,1995-0552.01,LAA1,31931/0-0526-1995,,,G,,,2
Clematis paniculata,,plant,,,,,,1995-0556.01,LAA2,31935/0-0558-1995,,,G,,,1
Clematis viticella 'Royal Velours',,plant,,,,,,1995-0557.01,LFE,31936/0-5325-1995,,,U,,,1
Clematis viticella 'Minuet',,plant,,,,,,1995-0560.01,LFE,31939/0-5325-1995,,,U,,,1
Clematis 'Venosa Violacea',,plant,,,,,,1995-0561.01,LFE,31940/0-5325-1995,,,G,,,1
Coreopsis rosea,,plant,,,,,,1995-0564.02,HUBC,31943/0-5463-1995,,,G,,,1
Bletilla striata,,plant,,,,,,1995-0565.01,LAS3,31944/0-0241-1995,,,G,,,1
Bletilla striata,,plant,,,,,,1995-0565.02,2A17,31944/0-0241-1995,,,G,,,
Dianthus 'Gordie Bentham',,plant,,,,,,1995-0577.01,LEU,31956/0-0627-1995,,,G,,,1
Dianthus 'Gordie Bentham',,plant,,,,,,1995-0577.02,LEU,31956/0-0627-1995,,,G,,,2
Dianthus 'Gordie Bentham',,plant,,,,,,1995-0577.03,LTC1,31956/0-0627-1995,,,G,,,1
Dianthus 'Royal Midget',,plant,,,,,,1995-0578.01,LEU,31957/0-0241-1995,,,G,,,1
Dianthus 'Sweet Nadine',,plant,,,,,,1995-0579.01,LEU,31958/0-0627-1995,,,G,,,1
Fuchsia magellanica,,plant,,,,,,1995-0593.01,LSA2,31973/0-5392-1995,,,G,,,1
Gentiana acaulis,,plant,,,,,,1995-0595.01,LEU,31975/0-5159-1995,,,G,,,1
Veronica 'Blue Mist',,plant,,,,,,1995-0603.03,LAA4,31983/0-0526-1995,,,G,,,1
Veronica 'Blue Mist',,plant,,,,,,1995-0603.04,LAA1,31983/0-0526-1995,,,G,,,4
Veronica 'Blue Mist',,plant,,,,,,1995-0603.05,LAA1,31983/0-0526-1995,,,G,,,3
Veronica 'Emerald Gem',,plant,,,,,,1995-0604.01,LAA1,31984/0-0526-1995,,,G,,,4
Iberis sempervirens 'Snowflake',,plant,,,,,,1995-0610.01,LEU,31991/0-0526-1995,,,G,,,1
Jeffersonia dubia,,plant,,,,,,1995-0612.01,LAS2,31993/0-5159-1995,,,G,,,1
Narcissus bulbocodium subsp. bulbocodium,,bulb,,,,,,1995-0626.01,LEU,32007/0-0633-1995,,,G,,,22
Phlox subulata 'Emerald Pink',,plant,,,,,,1995-0637.02,LNA4,32020/0-0526-1995,,,U,,,1
Phlox stolonifera 'Blue Ridge',,plant,,,,,,1995-0641.01,LNA1,32024/0-0483-1995,,,G,,,many
Phlox stolonifera 'Blue Ridge',,plant,,,,,,1995-0641.02,LNA1,32024/0-0483-1995,,,G,,,4
Phlox subulata 'Millstream Daphne',,plant,,,,,,1995-0644.01,LNA3,32027/0-0627-1995,,,G,,,1
Phlox subulata 'Millstream Daphne',,plant,,,,,,1995-0644.02,LNA4,32027/0-0627-1995,,,G,,,?
Phlox subulata 'White Delight',,plant,,,,,,1995-0646.01,LNA4,32029/0-0526-1995,,,G,,,1
Phlox subulata 'White Delight',,plant,,,,,,1995-0646.02,LNA2,32029/0-0526-1995,,,G,,,3
Dasiphora fruticosa 'Primrose Beauty',,plant,,,,,,1995-0653.01,LEU,32037/0-0633-1995,,,G,,,2
Rubus arcticus,,plant,,,,,,1995-0693.01,LNA5,32077/0-0483-1995,,,U,,,many
Rubus arcticus,,plant,,,,,,1995-0693.03,HUBC,32077/0-0483-1995,,,U,,,1
Sempervivum arachnoideum subsp. tomentosum,,plant,,,,,,1995-0702.01,LEU,32087/0-0241-1995,,,G,,,1
Spartium junceum,,plant,,,,,,1995-0703.02,HUBC,32088/0-0526-1995,,,U,,,1
Synthyris missurica subsp. stellata,,plant,,,,,,1995-0705.01,LNA3,32090/0-0627-1995,,,G,,,4
Synthyris missurica subsp. stellata,,plant,,,,,,1995-0705.02,HUBC,32090/0-0627-1995,,,G,,,1
Syringa × laciniata,,plant,,,,,,1995-0706.01,LAS2,32091/0-0627-1995,,,G,,,1
Thymus polytrichus subsp. britannicus 'Thomas's White',,plant,,,,,,1995-0710.02,LTC2,32095/0-0241-1995,,,G,,,?
Opuntia humifusa,,plant,,,,,,1995-0724.01,LCS1,32110/0-0063-1995,,aff.,G,,,1
Dryopteris erythrosora var. prolifica,,plant,,,,,,1995-0738.01,3AF3,32126/0-0613-1995,,,G,,,1
Geranium asphodeloides,,plant,,,,,,1995-0740.02,HUBC,32128/0-0613-1995,,,U,,,1
Hesperaloe parviflora,,plant,,,,,,1995-0741.01,LNA6,32129/0-5157-1995,,,G,,,1
Iris chrysographes,,plant,,,,,,1995-0744.01,3AB6,32132/0-0613-1995,,,G,black selection,,2
Nerine bowdenii,,bulb,,,,,,1995-0746.01,1M09,32136/0-0620-1995,,,G,,,3
Lavandula angustifolia 'Nana Alba',,plant,,,,,,1995-0765.03,LEU,32158/0-0561-1995,,,G,,,6
Acer pectinatum subsp. forrestii,,seed,3505,,,,China,1995-0778.01,3AB8,32171/0-0571-1995,SICH.1389,,W,,"Fliegner, H.; Erskine, C.; Howick, Charles; McNamara, W.",1
Acer pectinatum subsp. forrestii,,seed,3505,,,,China,1995-0778.03,HUBC,32171/0-0571-1995,SICH.1389,,W,,"Fliegner, H.; Erskine, C.; Howick, Charles; McNamara, W.",1
Acer pectinatum subsp. forrestii,,seed,2750,,,,China,1995-0779.01,3AL1,32172/0-0571-1995,SICH.1461,aff.,W,,"Fliegner, H.; Erskine, C.; Howick, Charles; McNamara, W.",1
Acer pectinatum subsp. forrestii,,seed,2750,,,,China,1995-0779.02,HUBC,32172/0-0571-1995,SICH.1461,aff.,W,,"Fliegner, H.; Erskine, C.; Howick, Charles; McNamara, W.",1
Ilex melanotricha,"NuShan, rd.to tin mine,12km N. of Caojian",seed,3140,,,,China,1994-0537.01,3AE6,32174/0-0523-1994,KR.2689,,W,,"Rushforth, Keith",1
Lilium brownii,"Daozhen county, Dashahe Cathaya Reserve,  Da He Ba trail to northern boundary of reserve.",seed,1560,,,,China,1995-0783.04,HUBC,32177/0-0413-1995,PW.0080,aff.,W,,"Wharton, Peter",1
Lilium szovitsianum,"Zehra Tskaro (9 Springs Mt.),nr.Bakuriani,1760-2050m,Bakuriana,Georgia,Caucasus",seed,,,,,Georgia,1993-0559.03,HUBC,32186/0-0215-1993,PHS.92-229,,W,,,1
Castanopsis orthacantha,"Daozhen county, Dashahe Cathaya Reserve,  Da He Ba trail to northern boundary of reserve.",seed,1395,,,,China,1995-0788.01,3AG9,32188/0-0413-1995,PW.82,,W,,"Wharton, Peter",2
Castanopsis orthacantha,"Daozhen county, Dashahe Cathaya Reserve,  Da He Ba trail to northern boundary of reserve.",seed,1395,,,,China,1995-0788.02,3AJ7,32188/0-0413-1995,PW.82,,W,,"Wharton, Peter",1
Castanopsis orthacantha,"Daozhen county, Dashahe Cathaya Reserve,  Da He Ba trail to northern boundary of reserve.",seed,1395,,,,China,1995-0788.03,HUBC,32188/0-0413-1995,PW.82,,W,,"Wharton, Peter",1
Stachyurus retusus,Mt. Emei,seed,1500,,,,China,1995-0791.01,3AAH,32191/0-0437-1995,,,W,,,1
Gladiolus italicus,,seed,,,,,,1994-0547.04,LAM,32209/0-0310-1994,,,G,,,1
Ceanothus thyrsiflorus var. repens,,plant,,,,,,1995-0809.01,LNA,32229/0-0573-1995,,,G,,,1
Hamamelis vernalis 'Sandra',,plant,,,,,,1995-0812.01,1P03,32234/0-0598-1995,,,G,,,1
Hedera sp.,"nr.Ban Khoang,n.of Sapa,7200',Lao Cai Prov.,Vietnam",unrooted cutting,,,,,Viet Nam,1995-0813.01,3AF6,32235/0-0523-1995,KR.2340,,W,,"Rushforth, Keith",1
Hedera sp.,"nr.Ban Khoang,n.of Sapa,7200',Lao Cai Prov.,Vietnam",unrooted cutting,,,,,Viet Nam,1995-0813.02,3AB8,32235/0-0523-1995,KR.2340,,W,,"Rushforth, Keith",1
Hedera sp.,"nr.Ban Khoang,n.of Sapa,7200',Lao Cai Prov.,Vietnam",unrooted cutting,,,,,Viet Nam,1995-0813.04,HUBC,32235/0-0523-1995,KR.2340,,W,,"Rushforth, Keith",1
Rhododendron glanduliferum,"Daozhen county, Dashahe Cathaya Reserve,  along reserve access road 2 km south of Dashahe village close to Communist Red Army Memorial which faces east across the valley and is below a limestone cliff. All collections were made between road and cliff base",seed,1310,,,,China,1995-0815.01,3AH2,32237/0-0413-1995,PW.0041,,W,,"Wharton, Peter",9
Rhododendron glanduliferum,"Daozhen county, Dashahe Cathaya Reserve,  along reserve access road 2 km south of Dashahe village close to Communist Red Army Memorial which faces east across the valley and is below a limestone cliff. All collections were made between road and cliff base",seed,1310,,,,China,1995-0815.02,HUBC,32237/0-0413-1995,PW.0041,,W,,"Wharton, Peter",1
Rhododendron glanduliferum,"Daozhen county, Dashahe Cathaya Reserve,  Da He Ba trail to northern boundary of reserve.",seed,1360,,,,China,1995-0816.01,3AE6,32238/0-0413-1995,PW.0083,,W,,"Wharton, Peter",4
Rhododendron glanduliferum,"Daozhen county, Dashahe Cathaya Reserve,  Da He Ba trail to northern boundary of reserve.",seed,1360,,,,China,1995-0816.02,3AH2,32238/0-0413-1995,PW.0083,,W,,"Wharton, Peter",9
Rhododendron glanduliferum,"Daozhen county, Dashahe Cathaya Reserve,  Da He Ba trail to northern boundary of reserve.",seed,1360,,,,China,1995-0816.03,3AG6,32238/0-0413-1995,PW.0083,,W,,"Wharton, Peter",2
Rhododendron glanduliferum,"Daozhen county, Dashahe Cathaya Reserve,  Da He Ba trail to northern boundary of reserve.",seed,1360,,,,China,1995-0816.04,HUBC,32238/0-0413-1995,PW.0083,,W,,"Wharton, Peter",1
Eumorphia sericea subsp. robustior,"Sani Pass,S.Afr.",seed,,,,,South Africa,1996-0080.03,LAF1,32250/0-0367-1996,DBGSA.217-94,,W,,,1
Eumorphia sericea subsp. robustior,"Sani Pass,S.Afr.",seed,,,,,South Africa,1996-0080.04,LAF1,32250/0-0367-1996,DBGSA.217-94,,W,,,1
Eumorphia sericea subsp. robustior,"Sani Pass,S.Afr.",seed,,,,,South Africa,1996-0080.05,LAF2,32250/0-0367-1996,DBGSA.217-94,,W,,,many
Eumorphia sericea subsp. robustior,"Sani Pass,S.Afr.",seed,,,,,South Africa,1996-0080.06,LAF1,32250/0-0367-1996,DBGSA.217-94,,W,,,8
Eumorphia sericea subsp. robustior,"Sani Pass,S.Afr.",seed,,,,,South Africa,1996-0080.07,HUBC,32250/0-0367-1996,DBGSA.217-94,,W,,,1
Harpochloa falx,"Top of Platberg, n. of Harrismith",seed,,,,,South Africa,1996-0082.01,LTC2,32252/0-0367-1996,DBGSA.152-94,,W,,,13
Harpochloa falx,"Top of Platberg, n. of Harrismith",seed,,,,,South Africa,1996-0082.02,LAF1,32252/0-0367-1996,DBGSA.152-94,,W,,,5
Harpochloa falx,"Top of Platberg, n. of Harrismith",seed,,,,,South Africa,1996-0082.03,LAF1,32252/0-0367-1996,DBGSA.152-94,,W,,,12
Harpochloa falx,"Top of Platberg, n. of Harrismith",seed,,,,,South Africa,1996-0082.04,HUBC,32252/0-0367-1996,DBGSA.152-94,,W,,,1
Harpochloa falx,"Top of Platberg, n. of Harrismith",seed,,,,,South Africa,1996-0082.05,HUBC,32252/0-0367-1996,DBGSA.152-94,,W,,,1
Haplocarpha scaposa,"Top of Platberg, n. of Harrismith",seed,,,,,South Africa,1996-0083.02,LAF2,32253/0-0367-1996,DBGSA.151-94,,W,,,many
Haplocarpha scaposa,"Top of Platberg, n. of Harrismith",seed,,,,,South Africa,1996-0083.03,HUBC,32253/0-0367-1996,DBGSA.151-94,,W,,,1
Rhododendron calophytum × R. coeloneurum,"Daozhen county, Dashahe Cathaya Reserve,  Da He Ba trail to northern boundary of reserve.",seed,1260,,,,China,1995-0824.01,3AF8,32281/0-0413-1995,PW.77,aff.,W,,"Wharton, Peter",9
Rhododendron glanduliferum,"Daozhen county, Dashahe Cathaya Reserve, Monkey Cape Mountain (Mao Zi Shan) trail, 3 km west of Dashahe village.",seed,1360,,,,China,1995-0826.01,3AD8,32282/0-0413-1995,PW.0039,,W,,"Wharton, Peter",1
Rhododendron glanduliferum,"Daozhen county, Dashahe Cathaya Reserve, Monkey Cape Mountain (Mao Zi Shan) trail, 3 km west of Dashahe village.",seed,1360,,,,China,1995-0826.02,3AH2,32282/0-0413-1995,PW.0039,,W,,"Wharton, Peter",11
Rhododendron glanduliferum,"Daozhen county, Dashahe Cathaya Reserve, Monkey Cape Mountain (Mao Zi Shan) trail, 3 km west of Dashahe village.",seed,1360,,,,China,1995-0826.03,HUBC,32282/0-0413-1995,PW.0039,,W,,"Wharton, Peter",1
Rhododendron glanduliferum,"Daozhen county, Dashahe Cathaya Reserve,  along reserve access road 2 km south of Dashahe village close to Communist Red Army Memorial which faces east across the valley and is below a limestone cliff. All collections were made between road and cliff base",seed,1340,,,,China,1995-0827.01,3AE6,32283/0-0413-1995,PW.0043,,W,,"Wharton, Peter",7
Rhododendron glanduliferum,"Daozhen county, Dashahe Cathaya Reserve,  along reserve access road 2 km south of Dashahe village close to Communist Red Army Memorial which faces east across the valley and is below a limestone cliff. All collections were made between road and cliff base",seed,1340,,,,China,1995-0827.02,3AH8,32283/0-0413-1995,PW.0043,,W,,"Wharton, Peter",1
Rhododendron glanduliferum,"Daozhen county, Dashahe Cathaya Reserve,  along reserve access road 2 km south of Dashahe village close to Communist Red Army Memorial which faces east across the valley and is below a limestone cliff. All collections were made between road and cliff base",seed,1340,,,,China,1995-0828.01,3AH2,32284/0-0413-1995,PW.0044,,W,,"Wharton, Peter",8
Rhododendron glanduliferum,"Daozhen county, Dashahe Cathaya Reserve,  along reserve access road 2 km south of Dashahe village close to Communist Red Army Memorial which faces east across the valley and is below a limestone cliff. All collections were made between road and cliff base",seed,1340,,,,China,1995-0828.02,3AC2,32284/0-0413-1995,PW.0044,,W,,"Wharton, Peter",4
Rhododendron auriculatum,"Daozhen county, Dashahe Cathaya Reserve, northern part of Gie Bei trail on Guizhou/Sichuan border. Top of pass.",seed,1500,,,,China,1995-0829.01,3AE6,32285/0-0413-1995,PW.50,,W,,"Wharton, Peter",4
