"genus","family","order","group","binomial","id"
"Daphniphyllum","Daphniphyllaceae","Saxifragales","Angiosperms","Daphniphyllum macropodum","ubc"
"Catalpa","Bignoniaceae","Lamiales","Angiosperms","Catalpa fargesii","ubc"
"Sassafras","Lauraceae","Laurales","Angiosperms","Sassafras albidum","ubc"
"Coriaria","Coriariaceae","Cucurbitales","Angiosperms","Coriaria microphylla","ubc"
"Lysimachia","Primulaceae","Ericales","Angiosperms","Lysimachia clethroides","ubc"
"Clethra","Clethraceae","Ericales","Angiosperms","Clethra delavayi","ubc"
"Verbena","Verbenaceae","Lamiales","Angiosperms","Verbena hastata","ubc"
"Toona","Meliaceae","Sapindales","Angiosperms","Toona sinensis","ubc"
"Medeola","Liliaceae","Liliales","Angiosperms","Medeola virginiana","ubc"
"Ephedra","Ephedraceae","Gnetales","Gymnosperms","Ephedra frustillata","ubc"
"Dianthus","Caryophyllaceae","Caryophyllales","Angiosperms","Dianthus microlepis","ubc"
"Matteuccia","Onocleaceae","Eupolypod II","Pteridophytes","Matteuccia struthiopteris","ubc"
"Bretschneidera","Akaniaceae","Brassicales","Angiosperms","Bretschneidera sinensis","ubc"
"Rhamnus","Rhamnaceae","Rosales","Angiosperms","Rhamnus alpina","ubc"
"Emmenopterys","Rubiaceae","Gentianales","Angiosperms","Emmenopterys henryi","ubc"
"Firmiana","Malvaceae","Malvales","Angiosperms","Firmiana simplex","ubc"
"Luzula","Juncaceae","Poales","Angiosperms","Luzula sylvatica","ubc"
"Orostachys","Crassulaceae","Saxifragales","Angiosperms","Orostachys malacophylla","ubc"
"Tapiscia","Tapisciaceae","Huerteales","Angiosperms","Tapiscia sinensis","ubc"
"Helwingia","Helwingiaceae","Aquifoliales","Angiosperms","Helwingia chinensis","ubc"
"Hedychium","Zingiberaceae","Zingiberales","Angiosperms","Hedychium coronarium","ubc"
"Lewisia","Montiaceae","Caryophyllales","Angiosperms","Lewisia pygmaea","ubc"
"Itea","Iteaceae","Saxifragales","Angiosperms","Itea virginica","ubc"
"Liquidambar","Altingiaceae","Saxifragales","Angiosperms","Liquidambar formosana","ubc"
"Reseda","Resedaceae","Brassicales","Angiosperms","Reseda luteola","ubc"
"Jovellana","Calceolariaceae","Lamiales","Angiosperms","Jovellana violacea","ubc"
"Linum","Linaceae","Malpighiales","Angiosperms","Linum hirsutum","ubc"
"Cystopteris","Cystopteridaceae","Polypodiales-Eupolypod II","Pteridophytes","Cystopteris fragilis","ubc"
"Cistus","Cistaceae","Malvales","Angiosperms","Cistus laurifolius","ubc"
"Ribes","Grossulariaceae","Saxifragales","Angiosperms","Ribes sanguineum","ubc"
"Meliosma","Sabiaceae","Proteales","Angiosperms","Meliosma veitchiorum","ubc"
"Osmunda","Osmundaceae","Osmundales","Pteridophytes","Osmunda regalis","ubc"
"Triantha","Tofieldiaceae","Alismatales","Angiosperms","Triantha glutinosa","ubc"
"Crinodendron","Elaeocarpaceae","Oxalidales","Angiosperms","Crinodendron hookerianum","ubc"
"Drimys","Winteraceae","Canellales","Angiosperms","Drimys winteri","ubc"
"Sparganium","Typhaceae","Poales","Angiosperms","Sparganium emersum","ubc"
"Pedicularis","Orobanchaceae","Lamiales","Angiosperms","Pedicularis groenlandica","ubc"
"Kniphofia","Asphodelaceae","Asparagales","Angiosperms","Kniphofia multiflora","ubc"
"Boehmeria","Urticaceae","Rosales","Angiosperms","Boehmeria platanifolia","ubc"
"Adiantum","Pteridaceae","Polypodiales","Pteridophytes","Adiantum pedatum","ubc"
"Thelypteris","Thelypteridaceae","Polypodiales-Eupolypod II","Pteridophytes","Thelypteris noveboracensis","ubc"
"Botrychium","Ophioglossaceae","Ophioglossales","Pteridophytes","Botrychium virginianum","ubc"
"Uvularia","Colchicaceae","Liliales","Angiosperms","Uvularia grandiflora","ubc"
"Berberidopsis","Berberidopsidaceae","Berberidopsidales","Angiosperms","Berberidopsis corallina","ubc"
"Begonia","Begoniaceae","Cucurbitales","Angiosperms","Begonia palmata","ubc"
"Puya","Bromeliaceae","Poales","Angiosperms","Puya mirabilis","ubc"
"Rhododendron","Ericaceae","Ericales","Angiosperms","Rhododendron degronianum","ubc"
"Vaccinium","Ericaceae","Ericales","Angiosperms","Vaccinium deliciosum","ubc"
"Rhododendron","Ericaceae","Ericales","Angiosperms","Rhododendron barbatum","ubc"
"Rhododendron","Ericaceae","Ericales","Angiosperms","Rhododendron hyperythrum","ubc"
"Abies","Pinaceae","Pinales","Gymnosperms","Abies pinsapo","ubc"
"Picea","Pinaceae","Pinales","Gymnosperms","Picea alcoquiana","ubc"
"Pinus","Pinaceae","Pinales","Gymnosperms","Pinus cembra","ubc"
"Tsuga","Pinaceae","Pinales","Gymnosperms","Tsuga sieboldii","ubc"
"Pinus","Pinaceae","Pinales","Gymnosperms","Pinus sylvestris","ubc"
"Dryopteris","Dryopteridaceae","Polypodiales-Eupolypod I","Pteridophytes","Dryopteris expansa","ubc"
"Dryopteris","Dryopteridaceae","Polypodiales-Eupolypod I","Pteridophytes","Dryopteris wallichiana","ubc"
"Dryopteris","Dryopteridaceae","Polypodiales-Eupolypod I","Pteridophytes","Dryopteris cristata","ubc"
"Dryopteris","Dryopteridaceae","Polypodiales-Eupolypod I","Pteridophytes","Dryopteris bissetiana","ubc"
"Dryopteris","Dryopteridaceae","Polypodiales-Eupolypod I","Pteridophytes","Dryopteris erythrosora","ubc"
