"ID","TaxonID","Taxon","Trait","Data","Units","DataType","Method","SourceID","Region","Lat","Long","Alt","Accuracy","Comments"
"A06215",3229,"Viburnum tinus","DispMode","N","[9]","categorical","general reference","Consensus2017","U",,,,,
"A06567",3229,"Viburnum tinus","Diaspore","fruit","[3]","categorical","general reference","Consensus2017","U",,,,,
"A13387",3229,"Viburnum tinus","FruitMass","74","mg","quantitative","measure","Herrera1987c","W",37.2,-4.2,,"VLow","f.a. Fruit fresh weight=105mg"
"A01952",3229,"Viburnum tinus","FruitMass","51.6","mg","quantitative","measure","CastroDiez2003","W",41.97,-0.63,,"Low",
"A06296",3229,"Viburnum tinus","FruitType","fleshy","[2]","categorical","experience","Consensus2017","U",,,,,
"A13328",3229,"Viburnum tinus","SeedMass","38","mg","quantitative","measure","Herrera1987c","W",37.2,-4.2,,"VLow",
"A01951",3229,"Viburnum tinus","SeedMass","26","mg","quantitative","measure","CastroDiez2003","W",41.97,-0.63,,"Low",
"A10254",3229,"Viburnum tinus","SeedMass","58.02","mg","quantitative","measure","Peman2012","W",39.5,-0.75,,"Low",
"C02048",3229,"Viburnum tinus","SeedMass","27.16","mg","quantitative","measure","Cerabolini2003","C",,,,,
"A01702",3229,"Viburnum tinus","SeedMass","38.25","mg","quantitative","measure","Navas2010","W",43.76,3.7,300,"High",
"C01220",3229,"Viburnum tinus","SeedMass","55.65","mg","quantitative","measure","BLlavors2001","W",39.5,-0.75,,"Low",
"C01282",3229,"Viburnum tinus","SeedShape","regular","[2]","semi-quantitative","experience","Valencia2008","W",39.5,-0.75,,"Low",
"C03205",3229,"Viburnum tinus","BudSource","others","[13]","categorical","measure","Cabezudo1995","W",37.72,-4.94,,"Mod","f.a. root crown, lignotuber or burl"
"R02812",3229,"Viburnum tinus","BudSource","others","[13]","categorical","general reference","GciaFayos2001","W",39.4,-1.4,,"VLow","f.a. stump"
"R01425",3229,"Viburnum tinus","BudSource","root crown","[13]","categorical","measure","LopezSoria1992","W",41.58,1.9,420,"High",
"A02077",3229,"Viburnum tinus","BudSource","lignotuber","[13]","categorical","experience","Paula2016","W",39.4,-0.55,,"Low",
"C08940",3229,"Viburnum tinus","BudSource","root crown","[13]","categorical","measure","Quevedo2007","W",41.82,1.47,,"Low",
"R01412",3229,"Viburnum tinus","RespClip","yes","[2]","boolean","general reference","GciaFayos2001","W",39.4,-1.4,,"VLow",
"C06515",3229,"Viburnum tinus","RespFire","yes","[2]","boolean","measure","Trabaud2002","W",43.67,3.83,125,"High",
"R00165",3229,"Viburnum tinus","RespFire","yes","[2]","boolean","measure","Pausas1997","W",41.79,2.33,,"Mod",
"R01286",3229,"Viburnum tinus","RespFire","yes","[2]","boolean","compilation","Lloret2003","W",41.29,1.87,350,"Mod",
