"","NAME","NATIVITY","HABIT","LOCATION.and.QUANTITY","ACCN.."
"2799","Cyathea australis","Eastern Australia","TE","SEAS (1)                                                 ","2007-0005"
"2804","Cycas revoluta","Japan","SE","SEAS (1)                                                 ","1979-0573"
"2805","Cycas revoluta","Japan","SE","SEAS (1)                                                 ","2003-0165"
"2806","Cycas revoluta","Japan","SE","SEAS (1)                                                 ","1984-0033"
"2871","Cypripedium japonicum","China & Japan","HD","127A (1), 127B (2)","1999-0002"
"2950","Daphne oleoides","SE Spain to Himalayas","SE","51C (1)                                                 ","2015-0080"
"2965","Datisca cannabina","Greece (Crete) to W Asia","HD","123 (12), 32B (1)","2016-0108"
"2972","Decumaria barbara","SE USA","SD","33A (1)                                                 ","2013-0308"
"2973","Decumaria barbara","SE USA","SD","NURS (2)                                                 ","2016-0214"
"3012","Dennstaedtia punctilobula","E North America","HD","NURS (10)                                                 ","2008-0494"
"3119","Dicksonia antarctica","E Austrl (inc Tasmania)","HE","58 (3)                                                 ","2004-0017"
"3120","Dicksonia antarctica","E Austrl (inc Tasmania)","HE","58A (2)                                                 ","1997-0691"
"3121","Dicksonia antarctica","E Austrl (inc Tasmania)","HE","NURS (2)                                                 ","2017-0280"
"3122","Dicksonia antarctica","E Austrl (inc Tasmania)","HE","NURS (4)                                                 ","2017-0297"
"3123","Dicksonia antarctica","E Austrl (inc Tasmania)","HE","130A (3)                                                 ","1994-0001"
"3124","Dicksonia antarctica","E Austrl (inc Tasmania)","HE","130D (5)                                                 ","2016-0149"
"3125","Dicksonia antarctica","E Austrl (inc Tasmania)","HE","130B (3)                                                 ","2014-0151"
"3163","Dionaea muscipula","North & South Carolina","HD","SEAS (5)                                                 ","2005-0083"
"3259","Dryopteris carthusiana","Can, USA, Eur & Eurasia","HD","128 (5), 130B (1)","1993-0145"
"3271","Dryopteris dilatata","Ala to Maritimes; Europe","HD","48S (1)                                                 ","2003-0196"
"3272","Dryopteris dilatata","Ala to Maritimes; Europe","HD","96A (1)                                                 ","1995-0411"
"3304","Dryopteris goldiana","E North America","HD","NURS (25), 16 (3)","2017-0289"
"3305","Dryopteris goldiana","E North America","HD","130B (10)                                                 ","2016-0152"
"3306","Dryopteris goldiana","E North America","HD","NURS (20)                                                 ","2017-0057"
"3405","Eichhornia azurea","Central America to N Argentina","W","SEAS (1)                                                 ","2005-0050"
"3442","Ensete ventricosum","Ethiopia","HE","SEAS (1)                                                 ","1990-0180"
"3443","Ensete ventricosum","Ethiopia","HE","SEAS (1)                                                 ","2001-0104"
"3599","Erica cinerea","Norway to Brit,Sp &Italy","SE","65 (25)                                                 ","1974-1093"
"3847","Eucommia ulmoides","C China","TD","74 (1)                                                 ","1992-0024"
"3850","Eucryphia lucida","Australia (Tasmania)","TE","46D (1)                                                 ","1977-0442"
"3947","Euptelea polyandra","C Japan","TD","85A (1)                                                 ","1997-0444"
"4363","Gaura lindheimeri","La & Tex, s to Mexico","HD","39 (7)                                                 ","1994-0589"
"4364","Gaura lindheimeri","La & Tex, s to Mexico","HD","55 (16)                                                 ","1995-0618"
"4411","Gentiana verna","Britain, Ireland & Europe","HE","TR04 (1)                                                 ","2007-0211"
"4412","Gentiana verna","Britain, Ireland & Europe","HE","TR04 (1)                                                 ","2007-0114"
"4413","Gentiana verna","Britain, Ireland & Europe","HE","TR04 (1)                                                 ","2006-0063"
"4414","Gentiana verna","Britain, Ireland & Europe","HE","NURS (2)                                                 ","2010-0226"
"4477","Geranium tuberosum","Mediterranean to W Iran","HD","32 (1)                                                 ","1981-0694"
"4554","Grevillea robusta","Australia (Qld & NSW)","TE","58 (1)                                                 ","2003-0178"
"4562","Gunnera magellanica","S South America & Falk","HD","57 (6), 59 (6), 46F (3), 67 (24)","1997-0401"
"4563","Gunnera magellanica","S South America & Falk","HD","59 (9)                                                 ","2013-0282"
"5929","Lapageria rosea","Chile","VE","NURS (12)                                                 ","2008-0365"
"6372","Limnanthes douglasii","California & S Oregon","HD","22A (1)                                                 ","1974-1021"
"6373","Limnanthes douglasii","California & S Oregon","HD","22A (5)                                                 ","1984-0382"
"6374","Limnanthes douglasii","California & S Oregon","HD","24E (1), 22A (1), 88 (6)","1985-0005"
"6805","Melianthus major","S Africa, nat in India","HE","SEAS (8)                                                 ","1995-0136"
"6872","Mimulus moschatus","BC to Nfld, s to W Va & Calif","HD","24E (10)                                                 ","2000-0238"
"6903","Molinia caerulea","Eurasia","HD","24B (8)                                                 ","1994-0626"
"6904","Molinia caerulea","Eurasia","HD","126A (29)                                                 ","1997-0251"
"6936","Morus australis","China, Japan & Korea","TD","128 (1)                                                 ","1990-0600"
"7159","Neillia sinensis","C China","SD","136 (1)                                                 ","1984-0057"
"7197","Nymphaea alba","N Africa & Eurasia","HD","LK04 (1)                                                 ","1991-0106"
"7455","Oxalis triangularis","Brazil & Peru to Arg","HD","46B (12)                                                 ","1995-0262"
"7467","Pachysandra procumbens","SE USA","HD","16 (7)                                                 ","2016-0129"
"7470","Pachystachys lutea","Peru","SE","SEAS (3)                                                 ","2008-0300"
"7615","Paulownia tomentosa","China","TD","136 (1)                                                 ","2000-0204"
"7616","Paulownia tomentosa","China","TD","127D (1), 123 (3)","1981-0188"
"7819","Penstemon whippleanus","Mont to Ariz & NMex","HD","24E (1), 52 (13)","1997-0588"
"7836","Persicaria campanulata","Himalayas","HE","47 (3), 121D (53), 121C (40)","1977-0733"
"7864","Phellodendron amurense","N China, Japan & Siberia","TD","127D (1)                                                 ","1973-0121"
"8040","Phytolacca americana","S Ont & Que to Tex&Fla","HD","NURS (2)                                                 ","2003-0019"
"8044","Picea abies","N&C Europe","TC","63 (1)                                                 ","1977-0718"
"8219","Pinus palustris","E USA (SE Virginia to Texas)","TC","NURS (2)                                                 ","2011-0066"
"8283","Platanus orientalis","SE Europe to Asia Minor","TD","32T (1)                                                 ","1991-0434"
"8355","Polemonium pulcherrimum","Ala to Calif, Nev & Wyo","HD","24A (1)                                                 ","1999-0123"
"8356","Polemonium pulcherrimum","Ala to Calif, Nev & Wyo","HD","24E (5)                                                 ","2002-0045"
"8359","Polygala chamaebuxus","C Europe to Italy","SE","NURS (1)                                                 ","2010-0235"
"8360","Polygala chamaebuxus","C Europe to Italy","SE","32 (4)                                                 ","1973-0660"
"8382","Polypodium vulgare","N Hemisphere","HE","NURS (1), 32 (10)","2017-0288"
"8383","Polypodium vulgare","N Hemisphere","HE","135C (3)                                                 ","1995-0659"
"8385","Polystichum acrostichoides","Eastern North America","HE","10 (30)                                                 ","2015-0153"
"8386","Polystichum acrostichoides","Eastern North America","HE","90A (3), 48S (13)","2002-0343"
"8387","Polystichum acrostichoides","Eastern North America","HE","90A (1), 46C (1)","1997-0659"
"8388","Polystichum acrostichoides","Eastern North America","HE","117 (1)                                                 ","1990-0461"
"8389","Polystichum acrostichoides","Eastern North America","HE","46B (4)                                                 ","2004-0168"
"8390","Polystichum acrostichoides","Eastern North America","HE","66A (5), 49C (8)","2009-0102"
"8865","Quercus montana","Del to Fla & Texas","TD","46B (1), 45A (1)","1973-0118"
"8940","Rhodocoma capensis","South Africa (W & E Cape)","HE","NURS (3)                                                 ","2009-0391"
"9260","Rhododendron campylocarpum","Himalayas","SE","123 (1)                                                 ","1980-0192"
"9261","Rhododendron campylocarpum","Himalayas","SE","139 (1)                                                 ","1974-0514"
"9262","Rhododendron campylocarpum","Himalayas","SE","124 (1)                                                 ","1982-0467"
"9263","Rhododendron campylocarpum","Himalayas","SE","123 (3)                                                 ","1982-0008"
"9264","Rhododendron campylocarpum","Himalayas","SE","85A (1)                                                 ","1981-0430"
"9265","Rhododendron campylocarpum","Himalayas","SE","121 (1)                                                 ","1983-0167"
"9820","Rhododendron ovatum","C&S China; Myanmar","SE","120 (1)                                                 ","1991-0236"
"9821","Rhododendron ovatum","C&S China; Myanmar","SE","136 (1)                                                 ","1982-0450"
"10074","Rhododendron trichocladum","Myanmar, Tibet & Yunnan","SE","122 (1)                                                 ","1982-0057"
"10075","Rhododendron trichocladum","Myanmar, Tibet & Yunnan","SE","NURS (1), 122 (3)","1982-0096"
"10076","Rhododendron trichocladum","Myanmar, Tibet & Yunnan","SE","122 (6)                                                 ","1981-0394"
"10077","Rhododendron trichocladum","Myanmar, Tibet & Yunnan","SE","121C (2), 122 (1)","1982-0094"
"10236","Rhus glabra","BC to Mex; Ont to Ga","TD","22A (4)                                                 ","1976-0170"
"10237","Rhus glabra","BC to Mex; Ont to Ga","TD","4 (3)                                                 ","2011-0287"
"10815","Sarracenia minor","Southeastern USA (South Carolina to Florida)","HD","37A (6)                                                 ","2005-0075"
"10952","Scirpus microcarpus","North America","HE","NURS (20)                                                 ","2016-0286"
"11195","Solanum pyracanthum","Africa & Madagascar","HE","SEAS (3)                                                 ","2008-0413"
"11371","Strelitzia nicolai","Afr (Natal & NE Cape)","HE","SEAS (1)                                                 ","2001-0327"
"11396","Symphoricarpos mollis","BC to Calif, e to Nev & Ida","SD","135C (3)                                                 ","1995-0445"
"11442","Syringa oblata","China","SD","140 (1)                                                 ","1999-0500"
"11573","Thalia dealbata","SC to Fla, Mo & Tex; Mex","W","SEAS (3)                                                 ","2005-0054"
"11599","Thuja koraiensis","Korea & NE China","TC","136 (1)                                                 ","1989-0042"
"11701","Tibouchina urvilleana","Brazil","SE","SEAS (1)                                                 ","1980-0900"
"11702","Tibouchina urvilleana","Brazil","SE","SEAS (4)                                                 ","1975-0479"
"11820","Tripterygium regelii","N China, Japan & Korea","SD","127B (1), 121C (1)","1996-0737"
"11856","Tropaeolum tricolor","Boliv & Chile","HD","NURS                                                  ","2008-0145"
"11957","Turbina corymbosa","Tropical America & Africa","VE","STOR (2)                                                 ","1997-0495"
"12047","Verbascum nigrum","Britain & Europe to Sib","HE","39 (1)                                                 ","1985-0454"
"12235","Viola pubescens","NS to Miss & Okla","HD","27 (10)                                                 ","1980-0971"
"12297","Wollemia nobilis","Australia (NSW, Blue Mts)","TC","58C (1)                                                 ","2016-0180"
"12353","Yucca glauca","C North Amer","SE","91 (1)                                                 ","2002-0384"
"12381","Zelkova serrata","E China, Jpn, Kor & Taiw","TD","19 (1)                                                 ","1975-0483"
"12382","Zelkova serrata","E China, Jpn, Kor & Taiw","TD","85A (1)                                                 ","1979-1565"
"12383","Zelkova serrata","E China, Jpn, Kor & Taiw","TD","87 (1)                                                 ","1973-0632"
