"","X","genus","family","order","group","binomial","id"
"55",55,"Acorus","Acoraceae","Acorales","Angiosperms","Acorus_americanus","ubc"
"56",56,"Teucrium","Lamiaceae","Lamiales","Angiosperms","Teucrium_pyrenaicum","ubc"
"57",57,"Kadsura","Schisandraceae","Austrobaileyales","Angiosperms","Kadsura_coccinea","ubc"
"58",58,"Ampelopsis","Vitaceae","Vitales","Angiosperms","Ampelopsis_megalophylla","ubc"
"60",60,"Oxalis","Oxalidaceae","Oxalidales","Angiosperms","Oxalis_triangularis","vand"
"64",64,"Calycanthus","Calycanthaceae","Laurales","Angiosperms","Calycanthus_occidentalis","vand"
"65",65,"Juglans","Juglandaceae","Fagales","Angiosperms","Juglans_mandshurica","ubc"
"67",67,"Paeonia","Paeoniaceae","Saxifragales","Angiosperms","Paeonia_cambessedesii","ubc"
"68",68,"Halocarpus","Podocarpaceae","Pinales","Gymnosperms","Halocarpus_bidwillii","ubc"
"69",69,"Opuntia","Cactaceae","Caryophyllales","Angiosperms","Opuntia_polyacantha","ubc"
"70",70,"Gaura","Onagraceae","Myrtales","Angiosperms","Gaura_lindheimeri","vand"
"72",72,"Elodea","Hydrocharitaceae","Alismatales","Angiosperms","Elodea_canadensis","ubc"
"73",73,"Equisetum","Equisetaceae","Equisetales","Pteridophytes","Equisetum_scirpoides","ubc"
"77",77,"Corymbia","Myrtaceae","Myrtales","Angiosperms","Corymbia_citriodora","vand"
"78",78,"Catalpa","Bignoniaceae","Lamiales","Angiosperms","Catalpa_fargesii","ubc"
"80",80,"Coriaria","Coriariaceae","Cucurbitales","Angiosperms","Coriaria_microphylla","ubc"
"83",83,"Campanula","Campanulaceae","Asterales","Angiosperms","Campanula_patula","vand"
"84",84,"Crambe","Brassicaceae","Brassicales","Angiosperms","Crambe_maritima","vand"
"85",85,"Verbena","Verbenaceae","Lamiales","Angiosperms","Verbena_hastata","ubc"
"86",86,"Toona","Meliaceae","Sapindales","Angiosperms","Toona_sinensis","ubc"
"87",87,"Medeola","Liliaceae","Liliales","Angiosperms","Medeola_virginiana","ubc"
"93",93,"Rhamnus","Rhamnaceae","Rosales","Angiosperms","Rhamnus_alpina","ubc"
"94",94,"Butia","Arecaceae","Arecales","Angiosperms","Butia_capitata","vand"
"97",97,"Firmiana","Malvaceae","Malvales","Angiosperms","Firmiana_simplex","ubc"
"98",98,"Viola","Violaceae","Malpighiales","Angiosperms","Viola_pubescens","vand"
"100",100,"Orostachys","Crassulaceae","Saxifragales","Angiosperms","Orostachys_malacophylla","ubc"
"103",103,"Hedychium","Zingiberaceae","Zingiberales","Angiosperms","Hedychium_coronarium","ubc"
"104",104,"Lewisia","Montiaceae","Caryophyllales","Angiosperms","Lewisia_pygmaea","ubc"
"106",106,"Liquidambar","Altingiaceae","Saxifragales","Angiosperms","Liquidambar_formosana","ubc"
"107",107,"Reseda","Resedaceae","Brassicales","Angiosperms","Reseda_luteola","ubc"
"108",108,"Jovellana","Calceolariaceae","Lamiales","Angiosperms","Jovellana_violacea","ubc"
"109",109,"Linum","Linaceae","Malpighiales","Angiosperms","Linum_hirsutum","ubc"
"110",110,"Cystopteris","Cystopteridaceae","Polypodiales-Eupolypod II","Pteridophytes","Cystopteris_fragilis","ubc"
"111",111,"Cistus","Cistaceae","Malvales","Angiosperms","Cistus_laurifolius","ubc"
"112",112,"Rhus","Anacardiaceae","Sapindales","Angiosperms","Rhus_glabra","vand"
"114",114,"Grevillea","Proteaceae","Proteales","Angiosperms","Grevillea_robusta","vand"
"115",115,"Scirpus","Cyperaceae","Poales","Angiosperms","Scirpus_microcarpus","vand"
"118",118,"Triantha","Tofieldiaceae","Alismatales","Angiosperms","Triantha_glutinosa","ubc"
"119",119,"Crinodendron","Elaeocarpaceae","Oxalidales","Angiosperms","Crinodendron_hookerianum","ubc"
"121",121,"Acalypha","Euphorbiaceae","Malpighiales","Angiosperms","Acalypha_wilkesiana","vand"
"122",122,"Sparganium","Typhaceae","Poales","Angiosperms","Sparganium_emersum","ubc"
"123",123,"Pedicularis","Orobanchaceae","Lamiales","Angiosperms","Pedicularis_groenlandica","ubc"
"124",124,"Kniphofia","Asphodelaceae","Asparagales","Angiosperms","Kniphofia_multiflora","ubc"
"125",125,"Gunnera","Gunneraceae","Gunnerales","Angiosperms","Gunnera_magellanica","vand"
"127",127,"Pachystachys","Acanthaceae","Lamiales","Angiosperms","Pachystachys_lutea","vand"
"128",128,"Zelkova","Ulmaceae","Rosales","Angiosperms","Zelkova_serrata","vand"
"129",129,"Adiantum","Pteridaceae","Polypodiales","Pteridophytes","Adiantum_pedatum","ubc"
"130",130,"Thelypteris","Thelypteridaceae","Polypodiales-Eupolypod II","Pteridophytes","Thelypteris_noveboracensis","ubc"
"131",131,"Botrychium","Ophioglossaceae","Ophioglossales","Pteridophytes","Botrychium_virginianum","ubc"
"132",132,"Alstroemeria","Alstroemeriaceae","Liliales","Angiosperms","Alstroemeria_isabellana","vand"
"133",133,"Uvularia","Colchicaceae","Liliales","Angiosperms","Uvularia_grandiflora","ubc"
"134",134,"Armeria","Plumbaginaceae","Caryophyllales","Angiosperms","Armeria_maritima","vand"
"135",135,"Berberidopsis","Berberidopsidaceae","Berberidopsidales","Angiosperms","Berberidopsis_corallina","ubc"
"136",136,"Begonia","Begoniaceae","Cucurbitales","Angiosperms","Begonia_palmata","ubc"
"137",137,"Puya","Bromeliaceae","Poales","Angiosperms","Puya_mirabilis","ubc"
"138",138,"Solanum","Solanaceae","Solanales","Angiosperms","Solanum_pyracanthum","vand"
"139",139,"Carpobrotus","Aizoaceae","Caryophyllales","Angiosperms","Carpobrotus_edulis","vand"
"141",141,"Ailanthus","Simaroubaceae","Sapindales","Angiosperms","Ailanthus_altissima","vand"
"142",142,"Wollemia","Araucariaceae","Pinales","Gymnosperms","Wollemia_nobilis","vand"
"143",143,"Asimina","Annonaceae","Magnoliales","Angiosperms","Asimina_triloba","vand"
"144",144,"Astelia","Asteliaceae","Asparagales","Angiosperms","Astelia_banksii","vand"
"145",145,"Billardiera","Pittosporaceae","Apiales","Angiosperms","Billardiera_heterophylla","vand"
"146",146,"Butomus","Butomaceae","Alismatales","Angiosperms","Butomus_umbellatus","vand"
"147",147,"Canna","Cannaceae","Zingiberales","Angiosperms","Canna_indica","vand"
"148",148,"Carica","Caricaceae","Brassicales","Angiosperms","Carica_papaya","vand"
"149",149,"Celtis","Cannabaceae","Rosales","Angiosperms","Celtis_sinensis","vand"
"150",150,"Chloranthus","Chloranthaceae","Chloranthales","Angiosperms","Chloranthus_serratus","vand"
"151",151,"Corokia","Argophyllaceae","Asterales","Angiosperms","Corokia_cotoneaster","vand"
"152",152,"Cyathea","Cyatheaceae","Cyatheales","Pteridophytes","Cyathea_australis","vand"
"153",153,"Cycas","Cycadaceae","Cycadales","Gymnosperms","Cycas_revoluta","vand"
"154",154,"Datisca","Datiscaceae","Cucurbitales","Angiosperms","Datisca_cannabina","vand"
"155",155,"Dennstaedtia","Dennstaedtiaceae","Polypodiales","Pteridophytes","Dennstaedtia_punctilobula","vand"
"157",157,"Dionaea","Droseraceae","Caryophyllales","Angiosperms","Dionaea_muscipula","vand"
"158",158,"Eichhornia","Pontederiaceae","Commelinales","Angiosperms","Eichhornia_azurea","vand"
"159",159,"Ensete","Musaceae","Zingiberales","Angiosperms","Ensete_ventricosum","vand"
"160",160,"Eucommia","Eucommiaceae","Garryales","Angiosperms","Eucommia_ulmoides","vand"
"161",161,"Eucryphia","Cunoniaceae","Oxalidales","Angiosperms","Eucryphia_lucida","vand"
"162",162,"Euptelea","Eupteleaceae","Ranunculales","Angiosperms","Euptelea_polyandra","vand"
"163",163,"Morus","Moraceae","Rosales","Angiosperms","Morus_australis","vand"
"164",164,"Turbina","Convolvulaceae","Solanales","Angiosperms","Turbina_corymbosa","vand"
"165",165,"Lapageria","Philesiaceae","Liliales","Angiosperms","Lapageria_rosea","vand"
"166",166,"Limnanthes","Limnanthaceae","Brassicales","Angiosperms","Limnanthes_douglasii","vand"
"167",167,"Melianthus","Greyiaceae","Geraniales","Angiosperms","Melianthus_major","vand"
"168",168,"Mimulus","Phrymaceae","Lamiales","Angiosperms","Mimulus_moschatus","vand"
"170",170,"Phytolacca","Phytolaccaceae","Caryophyllales","Angiosperms","Phytolacca_americana","vand"
"172",172,"Polemonium","Polemoniaceae","Ericales","Angiosperms","Polemonium_pulcherrimum","vand"
"173",173,"Polygala","Polygalaceae","Fabales","Angiosperms","Polygala_chamaebuxus","vand"
"174",174,"Rhodocoma","Restionaceae","Poales","Angiosperms","Rhodocoma_capensis","vand"
"176",176,"Strelitzia","Strelitziaceae","Zingiberales","Angiosperms","Strelitzia_nicolai","vand"
