sample_number,total_nitrogen_%,total_carbon_%,species,,,,,,,,,,
87,2.1,43,Podophyllum_peltatum,,,,,,,,,,
88,1.6,46,Polypodium_vulgare,,,,,,,,,,
89,1.6,45,Polystichum_acrostichoides,,,,,,,,,,
90,1.4,46,Polystichum_setiferum,,,,,,,,,,
91,2.6,47,Quercus_macranthera,,,,,,,,,,
92,2.4,46,Rehderodendron_macrocarpum,,,,,,,,,,
93,1.3,49,Rhododendron_barbatum,,,,,,,,,,
94,1.6,49,Rhododendron_campylocarpum,,,,,,,,,,
95,0.98,49,Rhododendron_degronianum,,,,,,,,,,
96,1,49,Rhododendron_hyperythrum,,,,,,,,,,
97,1,50,Rhododendron_morii,,,,,,,,,,
98,2.7,49,Rhus_glabra,,,,,,,,,,
99,1.7,48,Ribes_sanguineum,,,,,,,,,,
100,2.8,44,Sanguinaria_canadensis,,,,,,,,,,
101,0.95,47,Sarracenia_minor,,,,,,,,,,
102,3.6,49,Sassafras_albidum,,,,,,,,,,
103,1.3,48,Schefflera_delavayi,,,,,,,,,,
104,1.1,49,Sciadopitys_verticillata,,,,,,,,,,
105,1.9,44,Scirpus_microcarpus,,,,,,,,,,
106,2.9,44,Stachyurus_chinensis,,,,,,,,,,
107,3.3,44,Staphylea_bumalda,,,,,,,,,,
108,2.2,49,Stewartia_serrata,,,,,,,,,,
109,2.7,49,Symphoricarpos_mollis,,,,,,,,,,
110,2.7,46,Syringa_oblata,,,,,,,,,,
111,2.5,45,Tapiscia_sinensis,,,,,,,,,,
112,2.7,47,Thelypteris_novaboracensis,,,,,,,,,,
113,0.89,44,Tolmeia_menziesii,,,,,,,,,,
114,3.1,47,Toona_sinensis,,,,,,,,,,
115,1.3,50,Trochodendron_aralioides,,,,,,,,,,
116,1.1,51,Tsuga_mertensiana,,,,,,,,,,
117,3.9,43,Verbascum_nigrum,,,,,,,,,,
118,1.7,50,Viburnum_davidii,,,,,,,,,,
119,2.3,43,Viola_odorata,,,,,,,,,,
120,2.5,48,Zelkova_serrata,,,,,,,,,,
